Name,Canal,Division,Circle,Zone,Lat,Long,Structure Type
Lahore- Kasur Road Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.03581842,74.52007645,Bridge
Delhi-Multan Road Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.03580794,74.51983514,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.0248148,74.49844149,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.02551738,74.4771615,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.02394454,74.44833902,Bridge
Foot Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.02388959,74.448162,Bridge
Aqua Duct,Upper Depalpur Canal,Kasur,DCC,Lahore,31.01925755,74.42618331,Other
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.01781646,74.42012995,Bridge
Katora Branch,Upper Depalpur Canal,Kasur,DCC,Lahore,31.0043691,74.38850951,Branch Canal
Sodi Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,31.00451879,74.38776353,Disty
Ditch Gohar Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,31.00315723,74.38667049,Disty
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,31.00357787,74.386629,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.99794018,74.37507383,Bridge
Jaggu Minor,Upper Depalpur Canal,Kasur,DCC,Lahore,30.98657973,74.36476815,Minor
Foot Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.96202669,74.35092534,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.94630908,74.33726871,Bridge
Bakerke Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,30.93997486,74.33004969,Disty
Usmanwala Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,30.93062976,74.31815609,Disty
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.92958594,74.31733324,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.92370377,74.29746023,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.91548263,74.27893204,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.90093806,74.26014425,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.88587758,74.25086437,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.85726012,74.24677138,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.83311378,74.24074201,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.81828029,74.2237729,Bridge
Kul Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,30.80072051,74.20312264,Disty
Kanganpur Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,30.80051364,74.20296846,Disty
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.78468492,74.18421925,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.76923785,74.16334775,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.7663274,74.14124489,Bridge
Foot Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.76500447,74.13520114,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.75550941,74.12395631,Bridge
Foot Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.75299491,74.12131301,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.74648364,74.11463288,Bridge
VR Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.73222336,74.09995927,Bridge
Foot Bridge,Upper Depalpur Canal,Kasur,DCC,Lahore,30.71805723,74.08744131,Bridge
Lalluggudar Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,30.71208491,74.08247221,Disty
Kaler Kalan Disty,Upper Depalpur Canal,Kasur,DCC,Lahore,30.7123408,74.08219584,Disty
HR of Daska Disty at RD 119+600/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.35942508,74.42054268,Disty
HR of Goraya Disty at RD 138+457/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.32619465,74.46456985,Disty
HR of Disty181+873/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.26353636,74.58081485,Disty
HR of Satrah & Basra Distyat RD 193+469/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.23634019,74.60063091,Disty
HR of Basra Disty at RD 203+250/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.21028317,74.6097091,Disty
HR of Beguder Disty at RD 227+850/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.15481026,74.64946494,Disty
Disty at RD 237+138/L,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.13143279,74.66405132,Disty
HR of Chanderke Disty at RD 249+085/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.10354377,74.66764807,Disty
HR of Shamsa Disty at RD 265+630/L,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.09708814,74.67032387,Disty
HR of Jinan Goraya Disty at RD 265+316/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.09696948,74.66886369,Disty
HR of Sub Link at RD 302+240/R,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.9814854,74.63588021,Other
HR of Jagugil Disty at RD 302+415/L,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.98184503,74.63708542,Disty
HR at RD 0+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.66857915,74.47015294,Other
DR Bridge at RD 7+044,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.65357115,74.4852601,Bridge
Foot Bridge & Syphon at RD 18+195,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.62423011,74.4807915,Bridge
VR Bridge at RD 23+300,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.59792221,74.46766075,Bridge
Foot Bridge & Syphon at RD 34+100,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.58342747,74.45961041,Bridge
VR Bridge at RD 39+100,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.57173114,74.45281809,Bridge
Syphon at RD 42+162,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.56429228,74.44900028,Syphon
Inlet at RD 44+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.5584215,74.44574431,Inlet
Foot Bridge & Syphon at RD 47+075,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.55052991,74.44187067,Bridge
DR Bridge at RD 51+800,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.53958379,74.43650882,Bridge
Foot Bridge & Syphon at RD 60+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.51650971,74.42920112,Bridge
Inlet at RD 63+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.50996245,74.4261921,Inlet
DR Bridge at RD 64+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.50565047,74.42279158,Bridge
AR Bridge at RD 75+226,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.47803553,74.41851689,Bridge
Railway Crossing at RD 75+319,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.47767521,74.4190322,Other
Syphon at RD 79+700,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.46594122,74.42157855,Syphon
Inlet at RD 81+140,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.46209051,74.42296941,Inlet
VR Bridge at RD 82+867,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.45753458,74.42387872,Bridge
VR Bridge at RD 86+110,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.44832421,74.425741,Bridge
Super Passage & Foot Bridge at RD 90+190,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.43750272,74.42460151,Bridge
VR Bridge at RD 94+900,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.42468484,74.42090464,Bridge
HR of Akamke Disty at RD 99+100,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.41381667,74.41615556,Disty
Inlet at RD105+140,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.39851405,74.41114729,Inlet
Syphon at RD 106+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.39580056,74.4106516,Syphon
HR of Jamke Disty at RD 106+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.39438879,74.40974357,Disty
VR Bridge at RD 109+660,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.38578126,74.41121318,Bridge
